GEO.id,GEO.id2,GEO.display-label,GC.target-geo-id,GC.target-geo-id2,GC.display-label,GC.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geography,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0100000US,,United States,310M300US20500,20500,"United States - Durham-Chapel Hill, NC Metro Area","Durham-Chapel Hill, NC Metro Area",504357,506623,508532,515514,524708,532944,541769,550346,558920,567428
0100000US,,United States,310M300US20700,20700,"United States - East Stroudsburg, PA Metro Area","East Stroudsburg, PA Metro Area",169842,169838,169876,169961,168775,167588,167547,166835,166516,168046
0100000US,,United States,310M300US20740,20740,"United States - Eau Claire, WI Metro Area","Eau Claire, WI Metro Area",161151,161390,161658,162881,163889,164795,164981,165455,166452,167484
0100000US,,United States,310M300US20940,20940,"United States - El Centro, CA Metro Area","El Centro, CA Metro Area",174528,174528,174778,176157,177241,177267,178868,179839,180980,182830
0100000US,,United States,310M300US21060,21060,"United States - Elizabethtown-Fort Knox, KY Metro Area","Elizabethtown-Fort Knox, KY Metro Area",148338,148351,149853,151319,151500,152155,151646,148095,148940,150430
0100000US,,United States,310M300US21140,21140,"United States - Elkhart-Goshen, IN Metro Area","Elkhart-Goshen, IN Metro Area",197559,197561,197452,198383,199084,200366,201673,203401,204146,205032
0100000US,,United States,310M300US21300,21300,"United States - Elmira, NY Metro Area","Elmira, NY Metro Area",88830,88841,88985,88983,89197,88374,87414,87030,86040,85557
0100000US,,United States,310M300US21340,21340,"United States - El Paso, TX Metro Area","El Paso, TX Metro Area",804123,804123,806983,822747,834478,833522,836753,836326,841220,844818
0100000US,,United States,310M300US21420,21420,"United States - Enid, OK Metro Area","Enid, OK Metro Area",60580,60580,60736,60664,61270,62272,62704,63163,62384,61581
0100000US,,United States,310M300US21500,21500,"United States - Erie, PA Metro Area","Erie, PA Metro Area",280566,280564,280775,281288,281503,280647,279351,278111,276321,274541
0100000US,,United States,310M300US21660,21660,"United States - Eugene, OR Metro Area","Eugene, OR Metro Area",351715,351713,351880,353419,354486,355041,357564,361721,368283,374748
0100000US,,United States,310M300US21780,21780,"United States - Evansville, IN-KY Metro Area","Evansville, IN-KY Metro Area",311552,311554,311787,312631,313452,314454,315055,315439,315700,315669
0100000US,,United States,310M300US21820,21820,"United States - Fairbanks, AK Metro Area","Fairbanks, AK Metro Area",97581,97585,98276,98136,100354,100898,99308,99643,100602,99703
0100000US,,United States,310M300US22020,22020,"United States - Fargo, ND-MN Metro Area","Fargo, ND-MN Metro Area",208777,208777,209350,212706,216972,223477,227998,232987,237483,241356
0100000US,,United States,310M300US22140,22140,"United States - Farmington, NM Metro Area","Farmington, NM Metro Area",130044,130045,130205,129649,129677,129324,128958,128125,127772,126926
0100000US,,United States,310M300US22180,22180,"United States - Fayetteville, NC Metro Area","Fayetteville, NC Metro Area",366383,366322,374710,380366,380740,384464,384360,384554,386646,386662
0100000US,,United States,310M300US22220,22220,"United States - Fayetteville-Springdale-Rogers, AR-MO Metro Area","Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,463210,465290,475098,484093,492739,502187,513262,525176,537463
